step, arrivals_sum, infringement_sum, reward 
199502,98, 3892, -130681.60678489413
200002,100, 3898, -243217.090959372
200502,101, 3906, -268064.5809289671
201002,103, 3909, -152790.1363876015
201502,105, 3910, -122381.8568906635
202002,106, 3914, -197944.18865885213
202502,109, 3914, -123618.09382218122
203002,110, 3919, -208758.7272812333
203502,113, 3919, -107029.38856375776
204002,117, 3919, -88022.26992590725
204502,118, 3919, -107139.27222718019
205002,122, 3920, -128527.30327795912
205502,124, 3920, -114266.71229337156
206002,127, 3920, -97628.57217657752
206502,129, 3920, -95719.58342357352
207002,131, 3920, -91414.559042342
207502,131, 3923, -189593.8553401064
208002,136, 3924, -121774.41649736091
208502,139, 3937, -397471.46287338436
209002,141, 3937, -91066.07115269825
209502,141, 3937, -115956.5011989735
210002,144, 3941, -178890.38857003115
210502,146, 3941, -102406.85423740558
211002,148, 3945, -197691.82669277745
211502,151, 3970, -633536.4167099744
212002,155, 3978, -260307.0788191352
212502,155, 3982, -209495.23160010576
213002,157, 3982, -124704.18840153143
213502,159, 3982, -110605.92560791224
214002,161, 3984, -156863.2491320409
214502,161, 3984, -94231.00286258012
215002,163, 3989, -237636.47240884602
215502,166, 3995, -229618.56123086065
216002,171, 3995, -113446.06157639343
216502,172, 3997, -141769.98231084272
217002,172, 3999, -162573.60241072625
217502,174, 4010, -341764.7154163718
218002,174, 4016, -222794.07249261346
218502,176, 4018, -138789.5114534404
219002,176, 4021, -160173.47746343166
219502,179, 4027, -235122.64503783733
220002,182, 4027, -104320.3165146932
220502,182, 4031, -168813.74213344906
221002,185, 4040, -306495.77548327437
221502,185, 4056, -440207.5958474614
222002,189, 4059, -181381.6687611658
222502,190, 4106, -1096061.13260443
223002,190, 4129, -597514.5759831704
223502,201, 4129, -107910.62094304804
224002,203, 4129, -116927.01829497516
224502,204, 4129, -94193.87091980875
225002,209, 4129, -102033.91716818511
225502,211, 4129, -121874.36604281608
226002,212, 4129, -102094.65186777152
226502,214, 4130, -123301.71288625896
227002,216, 4130, -97210.86884518247
227502,217, 4138, -277751.0512671247
228002,220, 4138, -109157.98637360334
228502,225, 4140, -142979.4624859173
