step, arrivals_sum, infringement_sum, reward ,av arr,av inf
68002,0,3188,-221862.145705357,0,0.0468809740889974
68502,0,3188,-193577.521108985,0,0.0465387871886952
69002,0,3188,-202784.852998257,0,0.0462015593750906
69502,0,3188,-187825.847860962,0,0.0458691836206152
70002,0,3195,-304653.681634217,0,0.0456415530984829
70502,0,3205,-343495.853394,0,0.0454597032708292
71002,0,3211,-321891.312998325,0,0.0452240781949804
71502,0,3215,-263687.362600133,0,0.0449637772370004
72002,0,3222,-358686.030093074,0,0.0447487569789728
72502,0,3224,-254730.809906691,0,0.044467738820998
73002,0,3229,-343937.257670611,0,0.0442316648858935
73502,0,3243,-464759.122132905,0,0.044121248401404
74002,0,3243,-176315.759278938,0,0.0438231399151374
74502,0,3249,-325014.861232981,0,0.0436095675283885
75002,0,3262,-528861.854232997,0,0.0434921735420389
75502,0,3263,-260299.289853454,0,0.0432173982146168
76002,0,3263,-229290.331019044,0,0.0429330807084024
76502,0,3263,-257649.632257581,0,0.042652479673734
77002,0,3270,-368657.496477842,0,0.0424664294433911
77502,0,3277,-345978.462887526,0,0.042282779799231
78002,0,3277,-228968.113836467,0,0.0420117432886336
78502,0,3280,-273762.143392205,0,0.0417823749713383
79002,0,3283,-347994.849785507,0,0.0415559099769626
79502,0,3287,-267000.669358104,0,0.0413448718271239
80002,0,3308,-614442.723035149,0,0.0413489662758431
80502,0,3315,-364676.926422058,0,0.0411791011403443
81002,0,3318,-232893.027978688,0,0.0409619515567517
81502,2,3321,-220594.832441762,2.45392751098133E-05,0.0407474663198449
82002,2,3324,-228339.852943704,2.43896490329504E-05,0.0405355966927636
82502,3,3326,-180817.794321975,3.63627548423069E-05,0.0403141742018375
83002,3,3326,-154317.896764278,3.6143707380545E-05,0.0400713235825643
83502,3,3326,-161498.960471809,3.5927283178846E-05,0.0398313812842806
84002,3,3326,-141670.674596459,3.57134353943954E-05,0.0395942953739197
84502,3,3337,-397618.456525892,3.55021182930581E-05,0.0394901895813117
85002,3,3337,-152750.125060409,3.52932872167714E-05,0.039257899814122
85502,3,3337,-155599.597407609,3.50868985520806E-05,0.0390283268227644
86002,3,3342,-268742.675155342,3.48829096997744E-05,0.0388595614055487
86502,3,3349,-278130.056022339,3.46812790455712E-05,0.038715867841206
87002,3,3349,-152016.147342414,3.44819659318177E-05,0.0384933679685524
87502,3,3356,-316118.048349708,3.4284930630157E-05,0.0383534090649357
88002,3,3356,-158363.173009276,3.40901343151292E-05,0.0381354969205245
88502,3,3359,-227737.467731938,3.38975390386658E-05,0.0379539445436261
89002,3,3359,-156045.592575988,3.37071077054448E-05,0.0377407249275297
89502,3,3359,-158389.896962136,3.35188040490715E-05,0.0375298876002771
90002,3,3359,-149015.108846128,3.33325926090531E-05,0.0373213928579365
90502,3,3359,-151920.99431932,3.31484387085368E-05,0.0371152018739917
91002,3,3359,-148163.714244485,3.29663084327817E-05,0.0369112766752379
91502,3,3359,-162416.955438226,3.27861686083364E-05,0.0367095801184674
