step, arrivals_sum, infringement_sum 
543502,42089, 4438
544002,42159, 4440
544502,42229, 4444
545002,42296, 4449
545502,42366, 4454
546002,42435, 4460
546502,42513, 4462
547002,42587, 4468
547502,42657, 4475
548002,42727, 4478
548502,42806, 4481
549002,42877, 4484
549502,42955, 4487
550002,43032, 4491
550502,43109, 4493
551002,43186, 4497
551502,43259, 4501
552002,43334, 4504
552502,43406, 4505
553002,43484, 4508
553502,43547, 4515
554002,43615, 4519
554502,43694, 4519
555002,43770, 4520
555502,43846, 4524
556002,43920, 4528
556502,43995, 4530
557002,44066, 4533
557502,44140, 4537
558002,44215, 4539
558502,44281, 4548
559002,44352, 4555
559502,44430, 4555
560002,44500, 4559
560502,44573, 4563
561002,44646, 4565
561502,44713, 4569
562002,44773, 4576
562502,44855, 4580
563002,44931, 4582
563502,45005, 4584
564002,45079, 4588
564502,45143, 4593
565002,45215, 4596
565502,45288, 4598
566002,45361, 4601
566502,45436, 4604
567002,45513, 4604
567502,45578, 4608
568002,45657, 4610
568502,45722, 4613
569002,45799, 4616
569502,45873, 4617
570002,45946, 4620
570502,46019, 4622
571002,46094, 4623
571502,46166, 4626
572002,46244, 4627
572502,46325, 4629
573002,46400, 4631
573502,46476, 4634
574002,46546, 4640
574502,46616, 4643
575002,46691, 4646
575502,46762, 4651
576002,46848, 4652
576502,46918, 4655
577002,46997, 4658
577502,47073, 4663
578002,47151, 4665
578502,47233, 4668
579002,47303, 4673
579502,47378, 4675
580002,47460, 4676
580502,47542, 4679
581002,47627, 4680
581502,47703, 4681
582002,47779, 4684
582502,47844, 4689
583002,47923, 4692
583502,48004, 4696
584002,48079, 4700
584502,48156, 4702
585002,48234, 4704
585502,48308, 4706
586002,48384, 4710
586502,48458, 4714
587002,48536, 4717
587502,48611, 4721
588002,48684, 4727
588502,48765, 4729
589002,48842, 4733
589502,48919, 4734
590002,48996, 4737
590502,49076, 4740
591002,49153, 4743
591502,49228, 4746
592002,49303, 4748
592502,49369, 4756
593002,49442, 4760
593502,49521, 4761
594002,49600, 4766
594502,49676, 4767
595002,49755, 4767
595502,49830, 4769
596002,49909, 4771
596502,49979, 4777
597002,50056, 4780
597502,50137, 4781
598002,50211, 4784
598502,50296, 4786
599002,50365, 4793
599502,50444, 4795
600002,50519, 4802
600502,50599, 4804
601002,50675, 4809
601502,50747, 4814
602002,50821, 4817
602502,50892, 4821
603002,50958, 4829
603502,51034, 4832
604002,51108, 4835
604502,51183, 4837
605002,51261, 4840
605502,51330, 4845
606002,51408, 4848
606502,51482, 4852
607002,51558, 4855
607502,51639, 4856
608002,51716, 4857
608502,51798, 4860
609002,51875, 4865
609502,51957, 4867
610002,52027, 4873
610502,52105, 4875
611002,52178, 4878
611502,52259, 4882
612002,52334, 4884
612502,52409, 4889
613002,52484, 4894
613502,52567, 4897
614002,52645, 4900
614502,52723, 4902
615002,52803, 4905
615502,52880, 4909
616002,52954, 4914
616502,53026, 4919
617002,53107, 4922
617502,53183, 4923
618002,53267, 4923
618502,53349, 4925
619002,53437, 4925
619502,53518, 4927
620002,53594, 4930
620502,53668, 4934
621002,53751, 4936
621502,53830, 4940
622002,53910, 4943
622502,53985, 4951
623002,54060, 4957
623502,54130, 4965
624002,54209, 4967
624502,54285, 4971
625002,54364, 4975
625502,54449, 4980
626002,54522, 4986
626502,54597, 4994
627002,54676, 4997
627502,54750, 5000
628002,54826, 5004
628502,54906, 5005
629002,54988, 5007
629502,55072, 5007
630002,55156, 5010
630502,55246, 5012
631002,55329, 5016
631502,55409, 5018
632002,55498, 5021
632502,55573, 5024
633002,55654, 5028
633502,55731, 5033
634002,55807, 5040
634502,55889, 5045
635002,55968, 5050
635502,56042, 5055
636002,56122, 5057
636502,56205, 5061
637002,56281, 5063
637502,56364, 5065
638002,56445, 5069
638502,56519, 5074
639002,56601, 5076
639502,56682, 5079
640002,56763, 5082
640502,56841, 5085
641002,56924, 5088
641502,57008, 5090
642002,57089, 5092
642502,57177, 5096
643002,57256, 5101
643502,57331, 5108
644002,57412, 5110
644502,57496, 5113
645002,57574, 5121
645502,57658, 5124
646002,57734, 5130
646502,57816, 5134
647002,57900, 5136
647502,57981, 5141
648002,58058, 5144
648502,58142, 5147
649002,58224, 5150
649502,58300, 5155
650002,58382, 5157
650502,58459, 5161
651002,58537, 5166
651502,58619, 5167
652002,58698, 5167
652502,58775, 5171
653002,58856, 5176
653502,58936, 5180
654002,59018, 5182
654502,59097, 5184
655002,59176, 5191
655502,59260, 5198
