step, arrivals_sum, infringement_sum 
314502,6703, 1927
315002,6718, 1929
315502,6732, 1932
316002,6758, 1932
316502,6775, 1934
317002,6794, 1936
317502,6814, 1937
318002,6837, 1938
318502,6854, 1940
319002,6873, 1941
319502,6895, 1943
320002,6918, 1946
320502,6945, 1947
321002,6968, 1947
321502,6991, 1950
322002,7014, 1954
322502,7038, 1957
323002,7064, 1959
323502,7091, 1961
324002,7117, 1964
324502,7139, 1964
325002,7154, 1967
325502,7182, 1969
326002,7206, 1972
326502,7233, 1972
327002,7260, 1972
327502,7285, 1973
328002,7311, 1976
328502,7335, 1976
329002,7358, 1976
329502,7381, 1979
330002,7406, 1983
330502,7432, 1986
331002,7450, 1992
331502,7473, 1996
332002,7497, 1996
332502,7524, 1998
333002,7548, 2001
333502,7569, 2002
334002,7596, 2004
334502,7628, 2005
335002,7655, 2006
335502,7679, 2012
336002,7708, 2014
336502,7740, 2014
337002,7768, 2017
337502,7794, 2018
338002,7817, 2020
338502,7837, 2022
339002,7862, 2024
339502,7884, 2029
340002,7905, 2034
340502,7932, 2036
341002,7954, 2037
341502,7981, 2038
342002,8019, 2038
342502,8052, 2038
343002,8090, 2038
343502,8112, 2042
344002,8137, 2043
344502,8160, 2047
345002,8186, 2050
345502,8217, 2053
346002,8244, 2056
346502,8278, 2057
347002,8309, 2058
347502,8335, 2061
348002,8372, 2061
348502,8407, 2061
349002,8444, 2061
349502,8468, 2063
350002,8502, 2067
350502,8532, 2071
351002,8561, 2074
351502,8592, 2076
352002,8619, 2077
352502,8646, 2080
353002,8668, 2087
353502,8697, 2090
354002,8731, 2092
354502,8765, 2095
355002,8797, 2101
355502,8826, 2101
356002,8862, 2102
356502,8890, 2104
357002,8914, 2104
357502,8945, 2106
358002,8974, 2107
358502,9004, 2107
359002,9029, 2109
359502,9061, 2110
360002,9087, 2112
360502,9115, 2117
361002,9144, 2123
361502,9175, 2125
362002,9207, 2126
362502,9240, 2129
363002,9270, 2132
363502,9309, 2134
364002,9339, 2136
364502,9371, 2139
365002,9407, 2141
365502,9434, 2144
366002,9459, 2145
366502,9488, 2148
367002,9513, 2151
367502,9542, 2153
368002,9580, 2153
368502,9611, 2155
369002,9644, 2156
369502,9674, 2157
370002,9718, 2157
370502,9752, 2159
371002,9783, 2165
371502,9821, 2167
372002,9851, 2170
372502,9883, 2171
373002,9911, 2175
373502,9943, 2179
374002,9976, 2184
374502,10007, 2186
375002,10043, 2187
375502,10074, 2189
376002,10102, 2192
376502,10127, 2193
377002,10156, 2195
377502,10194, 2195
378002,10227, 2196
378502,10257, 2199
379002,10289, 2200
379502,10317, 2202
380002,10352, 2206
380502,10396, 2211
381002,10431, 2212
381502,10471, 2212
382002,10508, 2212
382502,10546, 2215
383002,10579, 2217
383502,10605, 2220
384002,10642, 2222
384502,10668, 2225
385002,10696, 2228
385502,10727, 2230
386002,10758, 2232
386502,10793, 2234
387002,10829, 2238
387502,10875, 2239
388002,10912, 2241
388502,10949, 2242
389002,10990, 2244
389502,11025, 2245
390002,11066, 2246
390502,11102, 2248
391002,11134, 2251
391502,11171, 2252
392002,11210, 2252
392502,11254, 2254
393002,11290, 2256
393502,11320, 2265
394002,11358, 2270
394502,11390, 2275
395002,11424, 2281
395502,11467, 2284
396002,11503, 2286
396502,11539, 2289
397002,11576, 2292
397502,11608, 2293
398002,11645, 2293
398502,11687, 2294
399002,11727, 2294
399502,11768, 2296
400002,11809, 2297
400502,11847, 2298
401002,11886, 2298
401502,11920, 2303
402002,11958, 2305
402502,12004, 2307
403002,12043, 2310
403502,12083, 2313
404002,12121, 2316
404502,12160, 2320
405002,12200, 2322
405502,12243, 2323
406002,12275, 2325
406502,12318, 2326
407002,12365, 2327
407502,12400, 2328
408002,12448, 2330
408502,12486, 2333
409002,12526, 2333
409502,12570, 2335
410002,12603, 2337
410502,12647, 2341
411002,12684, 2345
411502,12722, 2349
412002,12762, 2350
412502,12802, 2355
413002,12844, 2358
413502,12886, 2362
414002,12935, 2364
414502,12974, 2367
415002,13020, 2368
415502,13064, 2369
416002,13106, 2369
416502,13146, 2372
417002,13189, 2376
417502,13226, 2377
418002,13263, 2382
418502,13297, 2386
419002,13338, 2388
419502,13375, 2390
420002,13410, 2391
420502,13445, 2393
421002,13480, 2397
421502,13518, 2399
422002,13557, 2402
422502,13591, 2404
423002,13626, 2405
423502,13658, 2407
424002,13686, 2407
424502,13719, 2409
425002,13755, 2413
425502,13795, 2415
426002,13837, 2417
426502,13877, 2420
427002,13909, 2421
427502,13925, 2428
428002,13952, 2432
428502,13985, 2434
429002,14018, 2437
429502,14048, 2439
430002,14094, 2439
430502,14136, 2440
431002,14175, 2441
431502,14219, 2442
432002,14258, 2443
432502,14296, 2446
433002,14339, 2448
433502,14378, 2449
434002,14417, 2450
434502,14462, 2452
435002,14501, 2456
435502,14535, 2458
436002,14570, 2460
436502,14610, 2461
437002,14656, 2462
437502,14698, 2463
438002,14744, 2464
438502,14784, 2464
439002,14827, 2466
439502,14875, 2471
440002,14916, 2473
440502,14960, 2479
441002,14997, 2482
441502,15035, 2484
442002,15069, 2489
442502,15111, 2490
443002,15153, 2491
443502,15193, 2492
444002,15235, 2493
444502,15275, 2494
445002,15315, 2496
445502,15365, 2496
446002,15411, 2500
446502,15445, 2503
447002,15488, 2506
447502,15532, 2507
448002,15576, 2511
448502,15622, 2512
449002,15663, 2514
449502,15715, 2515
450002,15765, 2516
450502,15811, 2517
451002,15856, 2517
451502,15906, 2518
452002,15945, 2522
452502,15990, 2525
453002,16034, 2529
453502,16079, 2533
454002,16119, 2535
454502,16161, 2539
455002,16200, 2544
455502,16242, 2546
456002,16275, 2550
456502,16319, 2551
457002,16356, 2552
457502,16395, 2556
458002,16435, 2557
458502,16482, 2557
459002,16528, 2558
459502,16567, 2561
460002,16604, 2563
460502,16652, 2564
461002,16684, 2567
461502,16733, 2567
462002,16772, 2571
462502,16812, 2572
463002,16850, 2574
463502,16889, 2579
464002,16927, 2583
464502,16973, 2584
465002,17013, 2588
465502,17054, 2590
466002,17096, 2592
466502,17141, 2596
467002,17177, 2596
467502,17223, 2596
468002,17263, 2599
468502,17310, 2599
469002,17347, 2601
469502,17386, 2603
470002,17430, 2604
470502,17477, 2605
471002,17522, 2606
471502,17571, 2607
472002,17624, 2609
472502,17672, 2611
473002,17713, 2618
473502,17753, 2621
474002,17801, 2622
474502,17852, 2624
475002,17886, 2629
475502,17930, 2630
476002,17969, 2632
476502,18014, 2635
477002,18059, 2640
477502,18105, 2643
478002,18153, 2645
478502,18205, 2647
479002,18254, 2650
479502,18299, 2652
480002,18348, 2654
480502,18387, 2658
481002,18438, 2659
481502,18481, 2660
482002,18521, 2661
482502,18569, 2662
483002,18616, 2666
483502,18662, 2667
484002,18707, 2668
484502,18759, 2670
485002,18803, 2675
485502,18850, 2676
486002,18897, 2677
486502,18946, 2678
487002,18994, 2682
487502,19039, 2684
488002,19089, 2687
488502,19135, 2688
489002,19185, 2691
489502,19234, 2692
490002,19282, 2697
490502,19338, 2697
491002,19394, 2701
491502,19447, 2703
492002,19492, 2706
492502,19535, 2710
493002,19587, 2712
493502,19632, 2713
494002,19684, 2715
494502,19730, 2716
495002,19777, 2719
495502,19821, 2719
496002,19876, 2719
496502,19926, 2719
497002,19978, 2720
497502,20025, 2721
498002,20079, 2722
498502,20124, 2723
499002,20177, 2726
499502,20229, 2729
500002,20285, 2733
500502,20333, 2735
501002,20383, 2738
501502,20425, 2742
502002,20469, 2745
502502,20510, 2749
503002,20556, 2750
503502,20603, 2754
504002,20641, 2758
504502,20687, 2760
505002,20727, 2762
505502,20770, 2763
506002,20815, 2765
506502,20855, 2765
507002,20893, 2767
507502,20937, 2770
508002,20982, 2773
508502,21026, 2776
509002,21075, 2779
509502,21117, 2779
510002,21168, 2780
510502,21215, 2782
511002,21259, 2784
511502,21307, 2786
512002,21357, 2787
512502,21401, 2788
513002,21445, 2789
513502,21484, 2791
514002,21521, 2798
514502,21566, 2800
515002,21601, 2801
515502,21639, 2802
516002,21675, 2804
516502,21709, 2808
517002,21751, 2810
517502,21795, 2811
518002,21835, 2813
518502,21866, 2813
519002,21913, 2815
519502,21952, 2816
520002,21992, 2818
520502,22034, 2818
