step, arrivals_sum, infringement_sum, reward 
125502,66, 1611, -90342.18993484974
126002,67, 1612, -93578.77768421173
126502,71, 1614, -94287.81968617439
127002,72, 1618, -100308.82686525583
127502,74, 1621, -91244.7361689806
128002,75, 1622, -88779.72764074802
128502,77, 1624, -86685.41366410255
129002,77, 1629, -102954.70895171165
129502,77, 1630, -86225.26097732782
130002,77, 1631, -78702.9510396123
130502,78, 1633, -88128.51503920555
131002,79, 1634, -78422.90166574717
131502,79, 1634, -83507.40769946575
132002,80, 1636, -87348.68644034863
132502,80, 1637, -80784.46459579468
133002,80, 1638, -85286.9411328435
133502,80, 1640, -83417.3189330101
134002,80, 1642, -86572.07543611526
134502,81, 1644, -87174.99264776707
135002,83, 1645, -78989.8173211813
135502,83, 1648, -92926.01710057259
136002,85, 1649, -77949.33103686571
136502,86, 1650, -81835.07345807552
137002,88, 1651, -88633.10646617413
137502,88, 1652, -87739.5593907237
138002,89, 1652, -75874.92281401157
138502,90, 1652, -81196.28689199686
139002,92, 1655, -89064.26644420624
139502,95, 1655, -84996.49035906792
140002,96, 1655, -74764.51331949234
140502,101, 1656, -88687.56202590466
141002,101, 1657, -76844.40343618393
141502,101, 1661, -90256.8170157671
142002,101, 1661, -78925.22761768103
142502,102, 1661, -86773.59141308069
143002,103, 1661, -74506.10863149166
143502,105, 1661, -80868.45095086098
144002,107, 1661, -74595.16844975948
144502,110, 1661, -81488.01042521
145002,112, 1662, -82787.8692253828
145502,115, 1663, -75662.7025270462
146002,116, 1664, -77937.15888351202
146502,118, 1664, -81942.54031282663
147002,119, 1665, -86674.1916962862
147502,123, 1665, -80942.68782258034
148002,124, 1665, -73654.23287922144
148502,125, 1666, -73784.96472930908
149002,125, 1667, -76950.59171521664
149502,126, 1667, -78083.30818986893
150002,130, 1667, -76839.00250816345
150502,134, 1667, -70096.09940236807
151002,137, 1668, -75934.53074008226
151502,139, 1669, -73269.55739489198
152002,142, 1672, -79951.69431102276
152502,145, 1673, -73287.82724279165
153002,149, 1674, -79448.41264331341
153502,151, 1675, -82856.11884558201
154002,153, 1676, -82540.12297862768
154502,158, 1676, -70037.33889514208
155002,159, 1677, -83935.62726253271
155502,163, 1678, -83387.00774419308
156002,165, 1678, -82179.2527166009
156502,165, 1678, -80257.90412920713
157002,169, 1678, -73018.27864480019
157502,170, 1678, -82421.34112119675
158002,172, 1678, -88335.92326360941
158502,177, 1678, -80173.26156306267
159002,180, 1678, -73915.63023680449
159502,182, 1679, -78241.9062358737
160002,182, 1679, -74530.92147803307
160502,183, 1682, -81878.0210327506
161002,186, 1683, -74222.38324368
161502,189, 1683, -77246.99452519417
162002,191, 1683, -75983.35444051027
162502,192, 1683, -84913.0463603735
163002,195, 1684, -82705.18599700928
163502,196, 1685, -83416.76411622763
164002,197, 1685, -72588.33707606792
164502,197, 1685, -77721.20425379276
165002,200, 1685, -82356.84199386835
165502,202, 1686, -73599.3784546256
166002,207, 1687, -75524.88813602924
166502,211, 1688, -79578.24476635456
167002,215, 1688, -69769.75699600577
167502,215, 1688, -72073.4996432066
168002,218, 1688, -73860.9003148675
168502,219, 1688, -81987.34329468012
169002,223, 1690, -85746.48907852173
169502,226, 1692, -73431.60470360518
170002,228, 1692, -69833.88881802559
170502,229, 1695, -74622.35339421034
171002,232, 1696, -81443.57989877462
171502,235, 1697, -83046.93546366692
172002,237, 1698, -76913.9764354229
172502,240, 1698, -74961.64079552889
173002,242, 1699, -77589.14300447702
173502,246, 1704, -82912.85979795456
174002,248, 1706, -80594.98873746395
174502,250, 1707, -77514.57383686304
175002,254, 1707, -68535.86876273155
175502,260, 1709, -78073.56355041265
176002,266, 1710, -78965.95784771442
176502,272, 1711, -76971.36044794321
177002,274, 1713, -72051.48913121223
177502,276, 1713, -69904.24492287636
178002,278, 1714, -81602.19915872812
178502,280, 1715, -70424.52824270725
179002,283, 1716, -77003.31899756193
179502,284, 1719, -74771.35931062698
180002,287, 1721, -78839.84297949076
180502,288, 1721, -72273.91708797216
181002,290, 1721, -71258.65699321032
181502,294, 1722, -75330.68123078346
182002,300, 1723, -85866.63557398319
182502,307, 1723, -72072.3028023839
183002,312, 1725, -73066.49101793766
183502,314, 1727, -67616.77384215593
184002,317, 1729, -80319.37899667025
184502,319, 1730, -75574.11266112328
185002,324, 1731, -76569.66764068604
185502,324, 1733, -77902.33148363233
186002,326, 1734, -77793.6400436759
186502,326, 1734, -71772.52096247673
187002,326, 1735, -76253.67197847366
187502,331, 1736, -73305.4274367094
188002,335, 1736, -77056.48545396328
188502,335, 1738, -76916.85244649649
189002,337, 1740, -73861.15145629644
189502,342, 1740, -68952.87991440296
190002,347, 1740, -73861.61704987288
190502,349, 1740, -72959.13247770071
191002,350, 1741, -74221.85898643732
191502,353, 1741, -75634.78332704306
192002,357, 1743, -87863.933847785
192502,364, 1744, -70511.13212037086
193002,370, 1744, -65891.03856670856
193502,375, 1745, -68989.30917042494
194002,378, 1748, -88142.1704057455
194502,383, 1749, -74206.01727241278
195002,383, 1749, -69335.8732407093
195502,388, 1749, -70216.31655859947
196002,390, 1749, -76407.25088691711
196502,396, 1750, -76555.84774875641
197002,400, 1750, -67665.52329283953
197502,404, 1751, -63468.35918146372
198002,406, 1751, -71743.35039305687
198502,409, 1752, -75041.18349993229
199002,415, 1753, -69719.86530345678
199502,418, 1753, -63881.39629781246
200002,420, 1753, -66961.38216114044
200502,426, 1755, -81045.00140994787
201002,430, 1756, -75129.93797326088
201502,436, 1757, -67739.11462527514
202002,439, 1758, -61837.74276351929
202502,446, 1758, -64524.37343943119
203002,453, 1758, -64913.930167496204
203502,457, 1759, -70691.7228371203
204002,466, 1761, -76596.31443023682
204502,477, 1764, -75347.74680525064
205002,480, 1765, -67213.86884409189
205502,487, 1765, -66036.55751526356
206002,498, 1765, -59912.851735293865
206502,502, 1768, -70890.09074175358
207002,503, 1770, -79664.66549092531
207502,509, 1771, -69554.77921378613
208002,513, 1773, -75295.22854715586
208502,520, 1774, -73794.962177217
209002,526, 1775, -63336.636814177036
209502,531, 1775, -69865.27515417337
210002,540, 1775, -73593.79190677404
210502,547, 1775, -74275.3018374443
211002,557, 1775, -67287.12192869186
211502,564, 1776, -67550.61305505037
212002,566, 1777, -69911.48921436071
212502,577, 1781, -70079.3741158545
213002,586, 1783, -77282.73854067922
213502,593, 1784, -64361.98228037357
214002,603, 1785, -69334.71386933327
214502,608, 1785, -78616.08985888958
215002,614, 1786, -79526.04112613201
215502,622, 1786, -70194.24719387293
216002,628, 1787, -71506.19079959393
216502,633, 1790, -70469.73037695885
217002,642, 1791, -66938.44442278147
217502,647, 1792, -69132.1724588871
218002,650, 1793, -66247.65019512177
218502,659, 1794, -64474.51606172323
219002,670, 1795, -67974.27963989973
219502,676, 1795, -56946.75599294901
220002,686, 1795, -64066.35125100613
220502,696, 1796, -64770.81987416744
221002,705, 1798, -70714.07322531939
221502,712, 1798, -66119.48440474272
222002,720, 1802, -75554.97773098946
222502,729, 1804, -65557.5124835372
223002,734, 1805, -66421.61731866002
223502,743, 1805, -61599.447066664696
224002,754, 1806, -73000.13366857171
224502,767, 1809, -66277.80485999584
225002,775, 1811, -60628.327365100384
225502,778, 1811, -58699.30570071936
226002,784, 1811, -55304.898860156536
226502,793, 1813, -77023.4941970706
227002,799, 1815, -77556.31448882818
227502,810, 1815, -64275.16033029556
228002,817, 1818, -73732.00134170055
228502,826, 1820, -72178.92140710354
229002,832, 1823, -72455.85816800594
229502,839, 1825, -68606.50409018993
230002,844, 1826, -63616.16237989068
230502,850, 1826, -64864.791987121105
231002,856, 1827, -60103.427015542984
231502,868, 1827, -75659.25939077139
232002,881, 1828, -69887.02213656902
232502,890, 1829, -67024.02221232653
233002,907, 1831, -61805.884839355946
233502,924, 1835, -74501.45864331722
234002,938, 1835, -67271.53731426597
234502,945, 1836, -59828.7600274384
235002,957, 1836, -62630.91090905666
235502,960, 1838, -63923.16715043783
236002,964, 1841, -70674.26769053936
236502,969, 1841, -56506.67869704962
237002,972, 1842, -74131.29461121559
237502,982, 1843, -59125.25601011515
238002,993, 1844, -75840.03460466862
238502,998, 1844, -58980.8661031723
239002,1006, 1844, -60944.45619034767
239502,1016, 1847, -61430.625087589025
240002,1028, 1848, -65933.97104763985
240502,1043, 1849, -64806.720035493374
241002,1057, 1850, -68305.0669825077
241502,1070, 1851, -61753.51721769571
242002,1081, 1851, -56373.525742053986
242502,1091, 1852, -64101.2112826705
243002,1101, 1854, -65414.55487629771
243502,1111, 1857, -72947.44580599666
244002,1124, 1859, -61252.0602427125
244502,1139, 1860, -59890.00428831577
245002,1155, 1861, -68672.8964318037
245502,1166, 1862, -65017.58725208044
246002,1180, 1866, -66319.80523622036
246502,1194, 1871, -70965.59027922153
247002,1204, 1873, -65996.09231460094
247502,1212, 1875, -63906.686761558056
248002,1229, 1875, -62234.732927143574
248502,1246, 1876, -67833.88036221266
249002,1259, 1877, -65526.80070602894
249502,1273, 1878, -63884.31884455681
