step, arrivals_sum, infringement_sum, reward ,arr,inf
55502,4,5145,-136851.561623752,7.20694749738748E-05,0.0926993621851465
56002,4,5148,-134514.922002032,7.14260204992679E-05,0.0919252883825578
56502,4,5151,-118103.155625738,7.07939541963116E-05,0.0911649145163003
57002,4,5151,-131358.921795644,7.01729763867934E-05,0.0903652503420933
57502,4,5151,-116854.884000529,6.95627978157282E-05,0.0895794928872039
58002,4,5151,-124980.016923234,6.89631392020965E-05,0.0888072825074997
58502,4,5151,-105961.496746756,6.83737308126218E-05,0.0880482718539537
59002,4,5158,-134911.252675928,6.77943120572184E-05,0.0874207653977831
59502,4,5158,-118976.78217154,6.72246311048368E-05,0.0866861618096871
60002,4,5172,-148060.840044164,6.66644445185161E-05,0.0861971267624413
60502,4,5179,-130384.158484854,6.61135169085319E-05,0.0856004760173217
61002,4,5179,-120846.769216985,6.55716206026032E-05,0.0848988557752205
61502,4,5179,-121558.200189494,6.50385353321843E-05,0.0842086436213456
62002,4,5185,-135954.233097091,6.45140479339376E-05,0.0836263346343666
62502,4,5185,-111567.331193939,6.39979520655339E-05,0.0829573453649483
63002,5,5185,-127856.011711374,7.93625599187327E-05,0.0822989746357258
63502,5,5187,-119387.777389109,7.87376775534629E-05,0.0816824666939624
64002,5,5187,-125568.051965132,7.81225586700416E-05,0.0810443423643011
64502,5,5193,-116312.009249942,7.75169762177917E-05,0.0805091314997985
65002,5,5197,-129808.0290929,7.69207101319959E-05,0.0799513861111966
65502,5,5197,-103005.253024355,7.63335470672651E-05,0.0793410888217154
66002,6,5197,-109834.929177344,9.09063361716312E-05,0.0787400381806612
66502,6,5197,-111519.82321696,9.02228504405882E-05,0.0781480256232895
67002,7,5197,-117705.859918505,0.000104474493298707,0.0775648488104833
67502,7,5206,-120553.291964682,0.000103700631092412,0.0771236407810139
68002,7,5208,-111627.628046681,0.000102938148877974,0.0765859827652128
68502,7,5227,-123210.665194348,0.000102186797465767,0.0763043414790809
69002,7,5236,-123252.561101288,0.000101446334888844,0.0758818584968552
69502,7,5242,-96018.8736861062,0.000100716526143133,0.075422290006043
70002,7,5244,-112293.20217545,9.99971429387732E-05,0.0749121453672752
70502,8,5245,-96868.7725933846,0.000113471958242319,0.0743950526226206
71002,9,5249,-109836.879137412,0.000126756992760767,0.0739274950001408
71502,10,5256,-105507.676094409,0.000139856227797824,0.0735084333305362
72002,10,5262,-108053.323677791,0.000138885030971362,0.0730813032971306
72502,12,5262,-96476.599919375,0.0001655126755124,0.0725773082121872
73002,12,5276,-113562.803640957,0.000164379058107997,0.0722719925481494
73502,13,5293,-102260.834708708,0.000176865935620799,0.072011645941607
74002,14,5305,-115490.823014698,0.000189184076106051,0.0716872516959001
74502,14,5309,-99247.4213521532,0.000187914418404875,0.0712598319508201
75002,14,5312,-109484.441416846,0.000186661689021626,0.0708247780059198
75502,14,5318,-93672.6683097165,0.000185425551641016,0.070435220259066
76002,14,5318,-105999.204677437,0.000184205678797926,0.0699718428462409
76502,14,5330,-100305.328195765,0.000183001751588194,0.0696713811403623
77002,14,5336,-107477.226531846,0.000181813459390665,0.069296901379185
77502,16,5343,-95283.4433207121,0.000206446285257155,0.0689401563830611
78002,17,5346,-98912.5031183013,0.000217943129663342,0.0685367041870721
78502,17,5346,-91342.2640290364,0.000216554992229497,0.0681001757916996
79002,18,5349,-98154.1440861743,0.000227842333105491,0.0677071466545151
79502,18,5383,-113299.94451082,0.000226409398505698,0.0677089884531207
80002,18,5389,-103185.621205442,0.000224994375140621,0.0673608159796005
80502,20,5389,-85086.1413080515,0.000248441032520931,0.0669424362127649
81002,24,5389,-93140.5722880929,0.000296288980518999,0.0665292215007037
81502,27,5390,-82350.313459368,0.000331280213982479,0.0661333464209467
82002,28,5390,-89777.9874489564,0.000341455086461306,0.0657301041438014
82502,29,5392,-83758.073610872,0.0003515066301423,0.0653559913699062
83002,31,5397,-97553.475270742,0.000373484976265632,0.0650225295776006
83502,32,5397,-86871.0124823041,0.000383224353907691,0.064633182438744
84002,32,5414,-122540.881425566,0.000380943310873551,0.0644508464084189
84502,35,5414,-92556.1340176482,0.000414191380085678,0.0640694894795389
85002,35,5417,-90584.9172151347,0.000411755017528999,0.0637279122844168
85502,36,5417,-88209.9181439569,0.000421042782624968,0.063355243152207
86002,38,5424,-104276.092334413,0.000441850189530476,0.0630683007371922
86502,39,5429,-98687.6311077289,0.000450856627592426,0.0627615546461354
87002,39,5437,-98695.759941834,0.00044826555711363,0.0624928162570975
87502,41,5437,-90499.865778646,0.000468560718612146,0.0621357226120546
88002,42,5443,-94314.3889484934,0.000477261880411809,0.0618508670257494
88502,42,5446,-90002.4084930043,0.000474565546541321,0.061535332534858
89002,42,5452,-97714.2507448616,0.000471899507876228,0.0612570504033617
89502,43,5452,-84832.691175543,0.000480436191370025,0.060914839891846
90002,43,5452,-89017.8309570455,0.000477767160729762,0.0605764316348526
90502,43,5452,-85774.5269418357,0.000475127621489028,0.0602417626129809
91002,44,5459,-96795.4469317041,0.000483505857014132,0.0599876925781851
91502,46,5463,-95568.1532688602,0.000502721251994492,0.0597036130357806
92002,47,5466,-88519.8496456303,0.000510858459598704,0.0594117519184366
92502,51,5475,-102628.01870344,0.0005513394304988,0.0591879094506065
93002,52,5476,-81049.5205466491,0.000559127760693318,0.058880454183781
93502,52,5486,-105862.096181493,0.000556137836623816,0.0586725417638125
94002,52,5487,-82520.3646396597,0.000553179719580434,0.0583710984872662
94502,52,5489,-99710.3176882477,0.00055025290470043,0.0580834268057819
95002,53,5506,-103454.162294196,0.000557882991937012,0.0579566745963243
95502,56,5512,-97903.5584017504,0.000586375154447027,0.0577160687734288
96002,57,5514,-92193.0261966884,0.000593737630466032,0.0574363034103456
96502,59,5519,-91489.7396246842,0.000611386292512072,0.057190524548714
97002,61,5526,-89814.7288803873,0.000628853013339931,0.0569678975691223
97502,64,5530,-81036.7202631563,0.00065639679186068,0.0567167852967119
98002,64,5543,-105723.663088832,0.000653047896981694,0.0565600702026489
98502,65,5566,-110513.408431755,0.000659885078475564,0.0565064668737691
99002,65,5574,-111880.548585288,0.000656552392880952,0.0563018928910527
99502,66,5599,-135272.180475927,0.000663303250185926,0.056270225724106
100002,70,5599,-100738.358952326,0.000699986000279994,0.0559888802223956
100502,72,5599,-85552.9737166434,0.000716403653658634,0.055710334122704
101002,72,5599,-81959.9121389273,0.000712857171145126,0.0554345458505772
101502,74,5603,-94927.71985738,0.000729049673898051,0.0552008827412268
102002,76,5603,-89793.2496883284,0.000745083429736672,0.0549302954844023
102502,78,5606,-84565.5284886248,0.000760960761741234,0.0546916157733508
103002,79,5606,-100179.047800682,0.000766975398535951,0.0544261276480068
103502,81,5626,-120928.240351163,0.000782593573071052,0.0543564375567622
104002,83,5656,-107727.552141061,0.000798061575738928,0.0543835695467395
104502,84,5659,-91162.6480724398,0.000803812367227422,0.0541520736445236
105002,86,5668,-98725.1452069643,0.000819032018437744,0.0539799241919202
105502,88,5683,-114958.162668696,0.000834107410286061,0.0538662774165419
106002,91,5687,-89957.3352686984,0.000858474368408143,0.0536499311333748
106502,94,5694,-92932.0144125538,0.00088261253309797,0.0534637847176579
107002,96,5694,-96671.7462221459,0.000897179491972113,0.0532139586175959
107502,96,5707,-120588.907932004,0.000893006641736898,0.053087384420755
108002,100,5726,-109657.099543358,0.000925908779467047,0.0530175367122831
108502,102,5746,-117043.746903832,0.000940074837330188,0.0529575491696006
109002,103,5746,-100094.469478522,0.000944936790150639,0.0527146290893745
109502,104,5787,-134931.51949685,0.00094975434238644,0.0528483498018301
110002,108,5801,-96833.4281599512,0.000981800330903075,0.0527354048108216
110502,110,5807,-83646.8990139342,0.000995457095799171,0.0525510850482344
111002,115,5834,-112343.900888135,0.00103601736905641,0.0525576115745662
111502,117,5913,-165250.618103494,0.00104930853258238,0.0530304389158939
112002,121,5945,-111784.809741103,0.0010803378511098,0.0530794092962626
112502,124,5967,-103805.333760473,0.00110220262750884,0.0530390570834296
113002,125,5975,-90554.4609270829,0.00110617511194492,0.0528751703509672
113502,127,5995,-105488.493009035,0.00111892301457243,0.0528184525382813
114002,131,6024,-103236.727782589,0.00114910264732198,0.0528411782249434
114502,133,6025,-91073.3824212978,0.00116155176328798,0.0526191682241358
115002,136,6027,-87356.895129614,0.00118258812890211,0.0524077842124485
115502,137,6046,-120022.807858697,0.00118612664715763,0.0523454139322263
116002,137,6065,-104022.385515099,0.0011810141204462,0.0522835813175635
116502,137,6071,-81934.5573858573,0.00117594547733086,0.0521106933786544
117002,137,6081,-91046.9185660802,0.00117092015521102,0.0519734705389651
117502,139,6104,-113929.238002275,0.00118295858793893,0.051948051948052
118002,140,6112,-92719.9360015905,0.0011864205691429,0.0517957322757241
118502,144,6131,-115819.946174198,0.00121516936423014,0.0517375234173263
119002,147,6161,-112616.05052144,0.00123527335675031,0.0517722391220316
119502,149,6168,-92485.63010856,0.00124684105705344,0.051614198925541
120002,149,6169,-72734.8683611321,0.00124164597256712,0.0514074765420576
120502,150,6185,-92273.9222058502,0.00124479261754992,0.0513269489303082
121002,150,6188,-85104.6155621,0.00123964893142262,0.0511396505842879
121502,151,6203,-94885.3013857422,0.00124277789666014,0.0510526575694227
122002,153,6223,-112455.1370954,0.00125407780200325,0.0510073605350732
122502,154,6230,-82697.1059243903,0.00125712233269661,0.0508563125499992
123002,159,6232,-77699.4498427317,0.00129266190793646,0.0506658428318239
123502,163,6254,-98754.1825238722,0.00131981668313064,0.0506388560509142
124002,164,6269,-85259.3700737921,0.00132255931355946,0.0505556361994161
124502,169,6269,-78362.3131329549,0.00135740791312589,0.0503526047774333
125002,173,6287,-88693.7802416494,0.0013839778563543,0.0502951952768756
125502,180,6290,-76579.5074124006,0.00143424009179137,0.0501187232075983
126002,187,6295,-82912.4336413713,0.00148410342692973,0.0499595244519928
126502,191,6337,-128670.681181191,0.00150985755165926,0.0500940696589777
127002,192,6340,-76971.6493719692,0.00151178721594936,0.0499204736933277
127502,198,6363,-104281.531495912,0.00155291681699111,0.0499050995278505
128002,203,6380,-97030.462078348,0.00158591272011375,0.0498429712035749
128502,205,6397,-100545.771991305,0.00159530590963565,0.0497813263606792
129002,210,6422,-111621.501779687,0.00162788173826762,0.0497821739197842
129502,211,6441,-108612.54429666,0.00162931846612408,0.049736683603342
130002,212,6464,-111663.916676543,0.00163074414239781,0.0497223119644313
130502,217,6477,-85377.0172473982,0.00166280976536758,0.0496314232732065
131002,220,6484,-81353.8026431233,0.00167936367383704,0.0494954275507244
131502,223,6493,-80729.5719037517,0.00169579169898557,0.0493756748946784
132002,226,6544,-136721.527646511,0.00171209527128377,0.0495750064392964
132502,236,6557,-97356.312346144,0.00178110519086504,0.0494860454936529
133002,239,6576,-94784.74365859,0.00179696545916603,0.0494428655208192
133502,242,6586,-98954.9229456566,0.00181270692573894,0.0493325942682507
134002,246,6590,-75646.233727476,0.00183579349561947,0.0491783704720825
134502,249,6596,-91639.389045299,0.00185127358700986,0.0490401629715543
135002,252,6619,-105611.590233197,0.00186663901275537,0.049028903275507
135502,256,6624,-88424.5408055866,0.00188927100707001,0.0488848873079364
136002,261,6629,-84866.1921640044,0.00191908942515551,0.0487419302657314
136502,263,6631,-86905.9665725889,0.00192671169653192,0.0485780428125595
137002,266,6632,-87972.3441055024,0.00194157749521905,0.0484080524371907
137502,272,6634,-91201.4194407165,0.00197815304504662,0.0482465709589679
138002,274,6645,-89930.3393086635,0.0019854784713265,0.0481514760655643
138502,277,6649,-80179.5474389021,0.00199997111955062,0.0480065269815598
139002,284,6676,-107684.428322393,0.0020431360699846,0.0480280859268212
139502,294,6709,-106205.524915017,0.00210749666671446,0.0480925004659431
140002,300,6717,-80539.9085680215,0.00214282653104956,0.0479778860301996
140502,304,6726,-77393.5537401545,0.00216367026803889,0.0478712046803604
141002,310,6734,-83757.709115076,0.00219855037517198,0.047758187827123
141502,318,6738,-85139.8492287123,0.0022473180591087,0.0476177015165863
142002,327,6758,-106944.943039697,0.0023027844678244,0.0475908790017042
142502,331,6813,-130750.584152432,0.00232277441720116,0.0478098553002765
143002,334,6833,-101438.708292515,0.00233563166948714,0.0477825484958252
143502,337,6834,-72893.9159968504,0.00234839932544494,0.0476230296441861
144002,339,6850,-89431.4034515814,0.00235413397036152,0.0475687837668921
144502,343,6867,-90697.3105588569,0.00237366956858729,0.0475218336078393
145002,344,6910,-111279.188281174,0.00237238107060592,0.0476545151101364
145502,351,6927,-87258.8482909609,0.00241233797473574,0.0476075930227763
146002,357,6982,-133368.433851988,0.00244517198394543,0.0478212627224285
146502,364,7013,-115481.631535272,0.00248460771866596,0.0478696536566054
147002,372,7042,-106806.859146875,0.00253057781526782,0.0479041101481613
147502,377,7085,-122371.710399413,0.0025558975471519,0.0480332470068202
148002,382,7110,-106377.35731018,0.00258104620207835,0.0480398913528196
148502,384,7125,-80388.8732840722,0.00258582375994936,0.0479791517959354
149002,390,7147,-97497.2839871024,0.00261741453134857,0.0479657991167904
149502,393,7230,-167351.212792945,0.00262872737488462,0.048360557049404
150002,396,7266,-109836.380835901,0.00263996480046933,0.0484393541419448
150502,399,7293,-103627.228891931,0.00265112755976665,0.0484578278029528
151002,406,7294,-90096.6332110035,0.00268870610985285,0.0483039959735633
151502,411,7326,-101199.616832667,0.00271283547411915,0.0483557972832042
152002,416,7410,-169070.763213082,0.00273680609465665,0.0487493585610716
152502,421,7462,-121022.538308738,0.00276061953285859,0.0489305058294317
153002,428,7506,-130171.188807531,0.00279734905426073,0.0490581822459837
153502,434,7548,-116538.324571046,0.00282732472541074,0.0491719977589869
154002,436,7578,-104029.041392925,0.00283113206321996,0.0492071531538551
154502,442,7593,-90355.8355449688,0.00286080439088167,0.0491449948867976
155002,445,7613,-88691.2455652299,0.00287093069766842,0.0491154952839318
155502,451,7650,-118395.822938027,0.00290028424071716,0.0491955087394374
156002,456,7663,-73575.7353322108,0.0029230394482122,0.0491211651132678
156502,462,7716,-132537.266087581,0.00295203895157889,0.0493028843081878
157002,472,7748,-103777.363016425,0.00300633112953975,0.0493496898128686
157502,478,7785,-110937.714510334,0.00303488209673528,0.0494279437721426
158002,481,7799,-80297.1997305879,0.00304426526246503,0.0493601346818395
158502,493,7846,-131652.136466718,0.00311037084705556,0.0495009526693669
159002,500,7870,-83151.4317215874,0.00314461453315053,0.0494962327517893
159502,509,7890,-101781.027978331,0.00319118255570463,0.0494664643703527
160002,513,7992,-189363.203393654,0.00320620992237597,0.0499493756328046
160502,520,8046,-136772.261108889,0.00323983501763218,0.050130216445901
161002,531,8062,-84873.8898942572,0.00329809567583011,0.0500739121253152
161502,537,8098,-104169.340811268,0.00332503622246164,0.0501417939096729
162002,549,8134,-116777.606522049,0.00338884705127097,0.0502092566758435
162502,554,8182,-110037.883860948,0.00340918880998388,0.0503501495366211
163002,557,8218,-124750.197290206,0.00341713598606152,0.0504165593060208
163502,569,8250,-115510.299613444,0.00348007975437609,0.0504580983718854
