step, arrivals_sum, infringement_sum, reward 
104002,0, 881, -271444.0477762222
104502,0, 888, -250455.81349301338
105002,0, 896, -247492.56796503067
105502,0, 903, -267126.6045882702
106002,0, 910, -248627.20673322678
106502,0, 911, -246172.53695249557
107002,0, 916, -246081.89658474922
107502,0, 919, -259862.22096180916
108002,0, 925, -259464.7346060276
108502,0, 933, -263367.86554431915
109002,0, 935, -265159.3815598488
109502,0, 938, -258007.90549969673
110002,0, 942, -257900.84522938728
110502,0, 947, -253060.68077754974
111002,0, 953, -253819.33730459213
111502,0, 957, -260392.61702251434
112002,0, 960, -257987.36487722397
112502,0, 964, -261680.58445048332
113002,0, 969, -262451.8193693161
113502,0, 972, -251240.32056212425
114002,0, 977, -255894.33451628685
114502,0, 980, -268832.0860965252
115002,0, 985, -246971.34680104256
115502,0, 993, -260592.20155715942
116002,0, 995, -258616.494951725
116502,0, 999, -258218.28221726418
117002,0, 1003, -269533.42964220047
117502,0, 1007, -267315.80950164795
118002,0, 1012, -257723.09564208984
118502,0, 1021, -253579.79327821732
119002,0, 1025, -266789.06364297867
119502,0, 1029, -244524.32661390305
120002,0, 1034, -270007.75988173485
120502,0, 1042, -263147.2577781677
121002,0, 1045, -251368.67122769356
121502,0, 1052, -256673.0490489006
122002,0, 1058, -263829.4516379833
122502,0, 1062, -241425.64294099808
123002,0, 1067, -273496.25770807266
123502,0, 1072, -256521.96326231956
124002,0, 1075, -265728.2223277092
124502,0, 1080, -271309.5381577015
125002,0, 1084, -260468.82303404808
125502,0, 1089, -271427.1656138897
126002,0, 1090, -263771.6163005829
126502,0, 1100, -269267.080278635
127002,0, 1102, -243539.27773213387
127502,0, 1106, -242644.8357167244
128002,0, 1111, -262874.05754709244
128502,0, 1115, -276237.127048254
129002,0, 1119, -259500.54071354866
129502,0, 1125, -247710.89068222046
130002,0, 1126, -243434.452064991
130502,0, 1131, -252386.07801437378
131002,0, 1134, -253553.53513121605
131502,0, 1142, -260121.4506418705
132002,0, 1144, -267122.9856133461
132502,0, 1150, -257931.94900989532
133002,0, 1152, -251879.99569630623
133502,0, 1156, -257662.34332704544
134002,0, 1158, -258735.65670585632
134502,0, 1162, -273019.0546541214
135002,0, 1170, -261645.00361323357
135502,0, 1176, -242393.15762019157
136002,0, 1177, -259045.72115540504
136502,0, 1179, -250407.82432365417
137002,0, 1185, -263586.2538924217
137502,0, 1191, -236974.79701805115
138002,0, 1195, -255224.2034113407
